K,Inertia,Silhouette_Score,Davies_Bouldin_Score,Calinski_Harabasz_Score
2,7730.898658064547,0.9437903093408968,0.4618891494470737,3044.004831147202
3,4821.337089508561,0.4939195640622476,0.6403088146764012,3758.230289831803
4,3459.415743430729,0.506415958550299,0.6778316301303897,4064.282034290046
5,2647.659627975308,0.4711562633126592,0.6791141760322923,4316.692087825786
6,1877.4623072282748,0.47263282139835006,0.5668768300579344,5227.159655694398
7,1555.8626613551978,0.44537891943119184,0.5993694424359847,5405.5041954767685
8,1241.0660830428492,0.44630370677537234,0.5826972102246366,5965.310939982341
9,1037.0706890545102,0.44752535176463815,0.614996020459258,6352.0726650477645
10,882.2907612724234,0.448186755766351,0.6271924706432211,6720.857289000418
